SYMBOL	ENSEMBL	ENTREZID	GENENAME
NTC	NA	NA	NA
NKRF	ENSG00000186416	55922	NFKB repressing factor
ODF1	ENSG00000155087	4956	outer dense fiber of sperm tails 1
NDP	ENSG00000124479	4693	NDP, norrin cystine knot growth factor
KAZN	ENSG00000189337	23254	kazrin, periplakin interacting protein
DCP1B	ENSG00000151065	196513	decapping mRNA 1B
DCP1B	ENSG00000284850	196513	decapping mRNA 1B
RYR1	ENSG00000196218	6261	ryanodine receptor 1
TMEM123	ENSG00000152558	114908	transmembrane protein 123
OR56A1	ENSG00000180934	120796	olfactory receptor family 56 subfamily A member 1
PBX4	ENSG00000105717	80714	PBX homeobox 4
CHD4	ENSG00000111642	1108	chromodomain helicase DNA binding protein 4
GIGYF1	ENSG00000146830	64599	GRB10 interacting GYF protein 1
NAGLU	ENSG00000108784	4669	N-acetyl-alpha-glucosaminidase
TIMM8A	ENSG00000126953	1678	translocase of inner mitochondrial membrane 8A
RNF41	ENSG00000181852	10193	ring finger protein 41
NXPE2	ENSG00000204361	120406	neurexophilin and PC-esterase domain family member 2
MYSM1	ENSG00000162601	114803	Myb like, SWIRM and MPN domains 1
TMCC1	ENSG00000172765	23023	transmembrane and coiled-coil domain family 1
ZHX2	ENSG00000178764	22882	zinc fingers and homeoboxes 2
SLC2A9	ENSG00000109667	56606	solute carrier family 2 member 9
ZNF713	ENSG00000178665	349075	zinc finger protein 713
U2AF1	ENSG00000160201	7307	U2 small nuclear RNA auxiliary factor 1
U2AF1	ENSG00000275895	7307	U2 small nuclear RNA auxiliary factor 1
HAUS5	ENSG00000249115	23354	HAUS augmin like complex subunit 5
UCHL3	ENSG00000118939	7347	ubiquitin C-terminal hydrolase L3
CYP4V2	ENSG00000145476	285440	cytochrome P450 family 4 subfamily V member 2
ASCC3	ENSG00000112249	10973	activating signal cointegrator 1 complex subunit 3
IER3IP1	ENSG00000134049	51124	immediate early response 3 interacting protein 1
MAP3K15	ENSG00000180815	389840	mitogen-activated protein kinase kinase kinase 15
LSM6	ENSG00000164167	11157	LSM6 homolog, U6 small nuclear RNA and mRNA degradation associated
LDHAL6B	ENSG00000171989	92483	lactate dehydrogenase A like 6B
OR4C12	ENSG00000221954	283093	olfactory receptor family 4 subfamily C member 12
OR4C12	ENSG00000284255	283093	olfactory receptor family 4 subfamily C member 12
STX18	ENSG00000168818	53407	syntaxin 18
EMC1	ENSG00000127463	23065	ER membrane protein complex subunit 1
GLA	ENSG00000102393	2717	galactosidase alpha
THOC6	ENSG00000131652	79228	THO complex 6
RMI1	ENSG00000178966	80010	RecQ mediated genome instability 1
CYLC1	ENSG00000183035	1538	cylicin 1
LOC388849	NA	NA	NA
UPRT	ENSG00000094841	139596	uracil phosphoribosyltransferase homolog
NASP	ENSG00000132780	4678	nuclear autoantigenic sperm protein
TARS	ENSG00000113407	6897	threonyl-tRNA synthetase
BOD1	ENSG00000145919	91272	biorientation of chromosomes in cell division 1
C9orf57	ENSG00000204669	138240	chromosome 9 open reading frame 57
TMPRSS11D	ENSG00000153802	9407	transmembrane serine protease 11D
ZNF827	ENSG00000151612	152485	zinc finger protein 827
MYADML2	ENSG00000185105	255275	myeloid associated differentiation marker like 2
CELF4	ENSG00000101489	56853	CUGBP Elav-like family member 4
KRTAP5-5	ENSG00000185940	439915	keratin associated protein 5-5
KRTAP5-5	ENSG00000278302	439915	keratin associated protein 5-5
KRTAP5-5	ENSG00000277291	439915	keratin associated protein 5-5
LILRB5	ENSG00000105609	10990	leukocyte immunoglobulin like receptor B5
LILRB5	ENSG00000278437	10990	leukocyte immunoglobulin like receptor B5
LILRB5	ENSG00000277414	10990	leukocyte immunoglobulin like receptor B5
LILRB5	ENSG00000273991	10990	leukocyte immunoglobulin like receptor B5
LILRB5	ENSG00000274311	10990	leukocyte immunoglobulin like receptor B5
HAUS7	ENSG00000213397	55559	HAUS augmin like complex subunit 7
CCDC146	ENSG00000135205	57639	coiled-coil domain containing 146
TMEM116	ENSG00000198270	89894	transmembrane protein 116
MBP	ENSG00000197971	4155	myelin basic protein
FAM160A2	ENSG00000051009	84067	family with sequence similarity 160 member A2
UXT	ENSG00000126756	8409	ubiquitously expressed prefoldin like chaperone
UBFD1	ENSG00000103353	56061	ubiquitin family domain containing 1
PLAC4	ENSG00000280109	191585	placenta specific 4
CYP2A6	ENSG00000255974	1548	cytochrome P450 family 2 subfamily A member 6
FOXL2NB	ENSG00000206262	401089	FOXL2 neighbor
FUT1	ENSG00000174951	2523	fucosyltransferase 1 (H blood group)
HOXA4	ENSG00000197576	3201	homeobox A4
PRKAR1A	ENSG00000108946	5573	protein kinase cAMP-dependent type I regulatory subunit alpha
IQCF2	ENSG00000184345	389123	IQ motif containing F2
COL27A1	ENSG00000196739	85301	collagen type XXVII alpha 1 chain
MOB1B	ENSG00000173542	92597	MOB kinase activator 1B
PABPC1	ENSG00000070756	26986	poly(A) binding protein cytoplasmic 1
ANKRD65	ENSG00000235098	441869	ankyrin repeat domain 65
DPH3	ENSG00000154813	285381	diphthamide biosynthesis 3
QRFPR	ENSG00000186867	84109	pyroglutamylated RFamide peptide receptor
STAC	ENSG00000144681	6769	SH3 and cysteine rich domain
ANKRD13C	ENSG00000118454	81573	ankyrin repeat domain 13C
LMNA	ENSG00000160789	4000	lamin A/C
MALSU1	ENSG00000156928	115416	mitochondrial assembly of ribosomal large subunit 1
GIMAP2	ENSG00000106560	26157	GTPase, IMAP family member 2
ANKRD13D	ENSG00000172932	338692	ankyrin repeat domain 13D
C12orf60	ENSG00000182993	144608	chromosome 12 open reading frame 60
MYBPC2	ENSG00000086967	4606	myosin binding protein C, fast type
RIMKLA	ENSG00000177181	284716	ribosomal modification protein rimK like family member A
TMEM163	ENSG00000152128	81615	transmembrane protein 163
LMO4	ENSG00000143013	8543	LIM domain only 4
ITGA2B	ENSG00000005961	3674	integrin subunit alpha 2b
TIMM10B	ENSG00000132286	26515	translocase of inner mitochondrial membrane 10B
GIMAP7	ENSG00000179144	168537	GTPase, IMAP family member 7
TMEM102	ENSG00000181284	284114	transmembrane protein 102
TMEM102	ENSG00000284228	284114	transmembrane protein 102
IQCJ-SCHIP1	ENSG00000283154	100505385	IQCJ-SCHIP1 readthrough
SLC41A3	ENSG00000114544	54946	solute carrier family 41 member 3
TBC1D1	ENSG00000065882	23216	TBC1 domain family member 1
SMARCAD1	ENSG00000163104	56916	SWI/SNF-related, matrix-associated actin-dependent regulator of chromatin, subfamily a, containing DEAD/H box 1
TNFRSF11B	ENSG00000164761	4982	TNF receptor superfamily member 11b
PISD	ENSG00000241878	23761	phosphatidylserine decarboxylase
CCDC159	ENSG00000183401	126075	coiled-coil domain containing 159
FAM13A	ENSG00000138640	10144	family with sequence similarity 13 member A
MPST	ENSG00000128309	4357	mercaptopyruvate sulfurtransferase
PTPRE	ENSG00000132334	5791	protein tyrosine phosphatase, receptor type E
CRTAP	ENSG00000170275	10491	cartilage associated protein
MGST2	ENSG00000085871	4258	microsomal glutathione S-transferase 2
PFDN2	ENSG00000143256	5202	prefoldin subunit 2
DCDC2C	ENSG00000214866	728597	doublecortin domain containing 2C
CSF3	ENSG00000108342	1440	colony stimulating factor 3
TAS2R41	ENSG00000221855	259287	taste 2 receptor member 41
TAS2R41	ENSG00000284982	259287	taste 2 receptor member 41
PDLIM3	ENSG00000154553	27295	PDZ and LIM domain 3
PCDHB15	ENSG00000113248	56121	protocadherin beta 15
SHCBP1	ENSG00000171241	79801	SHC binding and spindle associated 1
PRR15L	ENSG00000167183	79170	proline rich 15 like
GPR27	ENSG00000170837	2850	G protein-coupled receptor 27
ZNF502	ENSG00000196653	91392	zinc finger protein 502
